"Installments related Interest","Juros do parcelamento"
"Installments number should be greater than zero. Was: ","Número de parcelas deveria ser maior que zero. Foram: "
"Installments number should be lower than Pagar.Me limit","Número de parcelas deveria ser menor que 13"
"Installments number should not be greater than %d","Número de parcelas não pode ser menor que %d"
"Credit Card Owner","Portador do Cartão"
"Name in credit card","Nome do portador"
"Credit Card Expiration Date","Data de Expiração"
"Credit Card Verification Number","Código de Verificação"
"Credit Card Number","Número do Cartão"
"Installments","Parcelas"
"Credit Card","Cartão de Crédito"
"Pagar.me Credit card","Cartão de crédito Pagar.me"
"Customer name","Nome do comprador"
"Card brand","Bandeira do cartão"
